Policy_ID,Latitude,Longitude,Line_of_Business,Construction_Type,Replacement_Cost_Value,HAZ_CLASS
POL-00027,35.643531236100166,-117.93403321547824,Commercial,Wood Frame,295914,Low_or_Unzoned
POL-00028,33.10380432771723,-116.6556781951452,Commercial,Masonry,1760118,Low_or_Unzoned
POL-00029,39.43125869421161,-123.12477569856117,Residential,Masonry,165879,Low_or_Unzoned
POL-00030,33.63614533641387,-116.79141178006272,Commercial,Masonry,771351,Low_or_Unzoned
POL-00031,39.27582547861845,-120.91615421752445,Residential,Wood Frame,903197,Low_or_Unzoned
POL-00032,39.82418820956833,-121.01429920027363,Residential,Masonry,294277,Low_or_Unzoned
POL-00033,37.19105816546171,-119.6139621936354,Commercial,Masonry,238234,High
POL-00034,38.54589890700591,-120.02281725358296,Residential,Wood Frame,1219241,Low_or_Unzoned
POL-00035,35.486381820225105,-118.74447537135578,Commercial,Masonry,244583,Low_or_Unzoned
POL-00036,41.12188150229788,-121.39271369091553,Residential,Steel Frame,332591,Low_or_Unzoned
POL-00037,34.868276176914314,-117.52984301404639,Residential,Wood Frame,1098929,Very High
POL-00038,39.677735816158965,-123.9706238771768,Commercial,Masonry,555593,Low_or_Unzoned
POL-00039,34.67358257217041,-115.1509646310197,Residential,Masonry,128320,Low_or_Unzoned
POL-00040,35.2526388026808,-118.57884454906595,Residential,Masonry,2186138,Low_or_Unzoned
POL-00041,34.031602228913044,-119.24707538031852,Residential,Wood Frame,353624,Low_or_Unzoned
POL-00042,41.33212769725444,-123.77136209800608,Commercial,Masonry,391520,Low_or_Unzoned
POL-00043,40.17714360586196,-123.55629305677031,Residential,Wood Frame,663064,Low_or_Unzoned
POL-00044,40.778875606783316,-120.91993499992664,Commercial,Wood Frame,890965,Low_or_Unzoned
POL-00045,40.97931048565479,-122.99554468362227,Residential,Masonry,2594445,Low_or_Unzoned
POL-00046,40.1706814740586,-121.4197890748694,Residential,Masonry,143192,Low_or_Unzoned
POL-00047,35.52103301223271,-117.17275575219571,Commercial,Masonry,1046290,Low_or_Unzoned
POL-00048,33.54549328301293,-115.04722683237826,Residential,Wood Frame,979118,Low_or_Unzoned
POL-00049,34.665384044148446,-116.1819924545824,Residential,Wood Frame,484207,Low_or_Unzoned
POL-00050,36.55752399194944,-117.3982087873364,Commercial,Steel Frame,1014411,Low_or_Unzoned
POL-00051,33.638720989669984,-117.55073685630302,Commercial,Wood Frame,1141004,Low_or_Unzoned
POL-00052,35.70734412833447,-117.84602820246195,Residential,Masonry,178872,Low_or_Unzoned
POL-00053,39.17868010950419,-121.10293066890235,Residential,Masonry,2190878,Low_or_Unzoned
POL-00054,35.95448122260329,-117.51691211543037,Commercial,Masonry,155280,Low_or_Unzoned
POL-00055,41.64324930195006,-120.90132528300697,Commercial,Wood Frame,217890,Low_or_Unzoned
POL-00056,35.358343943259314,-115.76905750232166,Commercial,Masonry,438260,Low_or_Unzoned
POL-00057,37.275450720674186,-120.27871422267347,Residential,Masonry,2520461,High
POL-00058,32.9890481368749,-116.84613839889585,Commercial,Wood Frame,422267,Low_or_Unzoned
POL-00059,35.14714141024781,-116.31188071789428,Residential,Wood Frame,526735,Low_or_Unzoned
POL-00060,41.12852591668321,-123.25870446594357,Residential,Wood Frame,1699191,Low_or_Unzoned
POL-00061,33.87650128486662,-117.02256101825364,Residential,Wood Frame,424957,Low_or_Unzoned
POL-00062,37.149801222636846,-120.75574015214484,Residential,Masonry,210502,High
POL-00063,41.86367931405071,-121.82794601800826,Residential,Masonry,387012,Low_or_Unzoned
POL-00064,35.99393976083291,-119.0981560587311,Residential,Steel Frame,1617890,Low_or_Unzoned
POL-00065,37.589859498710204,-120.51021967086335,Residential,Wood Frame,571884,High
POL-00066,33.35775281551688,-118.12507955072245,Residential,Masonry,2532016,Low_or_Unzoned
POL-00067,40.435373708097764,-120.41837334729627,Residential,Wood Frame,975151,Low_or_Unzoned
POL-00068,38.93686143750168,-122.64258201634817,Residential,Masonry,322594,Low_or_Unzoned
POL-00069,37.36488405384317,-119.8369126524805,Residential,Masonry,562902,High
POL-00070,34.65170986438041,-118.91534645169733,Residential,Steel Frame,273054,Very High
POL-00071,41.39893489299898,-121.0671192444649,Residential,Masonry,316555,Low_or_Unzoned
POL-00072,35.74013033497746,-120.27161092955711,Residential,Steel Frame,19448245,Low_or_Unzoned
POL-00073,33.5779984517856,-117.43867374192668,Commercial,Masonry,1220656,Low_or_Unzoned
POL-00074,40.83472385711932,-121.18998593618076,Commercial,Masonry,1076126,Low_or_Unzoned
POL-00075,40.26361090191155,-123.15257844701797,Commercial,Wood Frame,328225,Low_or_Unzoned
POL-00076,34.79759676355429,-117.14357928785826,Residential,Masonry,1896778,Low_or_Unzoned
POL-00077,33.384476294156045,-116.58854283807423,Residential,Masonry,1302156,Low_or_Unzoned
POL-00078,35.720783014962656,-117.99868627865871,Residential,Wood Frame,2434609,Low_or_Unzoned
POL-00079,41.02254746954948,-121.5123154503922,Commercial,Wood Frame,2341942,Low_or_Unzoned
POL-00080,33.463979657227306,-118.35158084767033,Residential,Masonry,165500,Low_or_Unzoned
POL-00081,34.7538663312196,-115.88929122841569,Residential,Wood Frame,222376,Low_or_Unzoned
POL-00082,40.56762239969469,-121.85072476576829,Residential,Wood Frame,242066,Low_or_Unzoned
POL-00083,38.74732247685326,-121.26840549442194,Residential,Masonry,253938,Low_or_Unzoned
POL-00084,33.38991029436688,-115.07167941884076,Commercial,Steel Frame,699948,Low_or_Unzoned
POL-00085,35.01942249297639,-118.37713269945438,Commercial,Masonry,343367,Low_or_Unzoned
POL-00086,34.817901612101295,-116.83267196354889,Commercial,Wood Frame,2836492,Low_or_Unzoned
POL-00087,41.743600270148235,-120.66936406281812,Residential,Wood Frame,2479937,Low_or_Unzoned
POL-00088,36.23442838433422,-117.76986195496305,Commercial,Wood Frame,537578,Low_or_Unzoned
POL-00089,38.495816946973996,-122.50567056719561,Residential,Wood Frame,2582480,Low_or_Unzoned
POL-00090,37.275052384499325,-118.65712130783737,Commercial,Wood Frame,1777125,Low_or_Unzoned
POL-00091,37.98058690395041,-120.73447338948729,Residential,Steel Frame,376786,High
POL-00092,39.3632950949843,-121.1843819118803,Residential,Wood Frame,108296,Low_or_Unzoned
POL-00093,32.73100168109881,-116.45146317967291,Residential,Wood Frame,453896,Low_or_Unzoned
POL-00094,41.56232148152458,-120.34265912494253,Residential,Wood Frame,322643,Low_or_Unzoned
POL-00095,36.016507652426725,-119.73107154126458,Commercial,Wood Frame,637433,Low_or_Unzoned
POL-00096,41.68322078091486,-123.23530293003606,Commercial,Wood Frame,580347,Low_or_Unzoned
POL-00097,35.29726447466106,-120.53268825586454,Residential,Wood Frame,568305,Low_or_Unzoned
POL-00098,40.58579837941014,-120.93729469324954,Residential,Steel Frame,821549,Low_or_Unzoned
POL-00099,35.51075904898464,-119.18771762964464,Residential,Wood Frame,204839,Low_or_Unzoned
POL-00100,37.915581115848966,-120.77535015433277,Commercial,Wood Frame,750945,High
POL-00101,37.4241316974555,-120.43361868003916,Residential,Wood Frame,380144,High
POL-00102,40.73718702651099,-122.90996069911539,Residential,Wood Frame,634115,Low_or_Unzoned
POL-00103,37.35775278917891,-118.1810292935728,Residential,Wood Frame,1162319,Low_or_Unzoned
POL-00104,37.26440479952839,-118.39176520207754,Residential,Wood Frame,202902,Low_or_Unzoned
POL-00105,40.08380420018436,-120.28465131956504,Commercial,Wood Frame,431475,Low_or_Unzoned
POL-00106,38.67465734238877,-120.95011370165426,Residential,Masonry,491478,Low_or_Unzoned
POL-00107,39.16868533394818,-123.16834776322061,Residential,Wood Frame,358106,Low_or_Unzoned
POL-00108,40.06003035964296,-120.38670426909607,Commercial,Wood Frame,1109992,Low_or_Unzoned
POL-00109,40.95505074726688,-122.7920614413924,Residential,Wood Frame,303667,Low_or_Unzoned
POL-00110,35.71095399008959,-116.7891603968317,Residential,Wood Frame,346514,Low_or_Unzoned
POL-00111,37.655124029721975,-118.44169306961435,Residential,Wood Frame,306221,Low_or_Unzoned
POL-00112,37.46131097052064,-121.3885790800521,Residential,Wood Frame,1294511,Low_or_Unzoned
POL-00113,39.8149387544368,-122.99357070131079,Residential,Wood Frame,364413,Low_or_Unzoned
POL-00114,38.4174595202805,-119.95589941441091,Commercial,Wood Frame,780770,Low_or_Unzoned
POL-00115,41.77059475489408,-123.6580390534728,Commercial,Wood Frame,2624928,Low_or_Unzoned
POL-00116,37.404853308861355,-119.49319178380219,Commercial,Wood Frame,508970,Low_or_Unzoned
POL-00117,35.56808649294184,-117.88402216795254,Commercial,Wood Frame,1315396,Low_or_Unzoned
POL-00118,35.07290638698971,-116.27356961948269,Residential,Steel Frame,2057666,Low_or_Unzoned
POL-00119,36.670228496703544,-121.5907728780093,Residential,Masonry,1229051,Low_or_Unzoned
POL-00120,33.245335622751526,-114.62075821962836,Residential,Masonry,533150,Low_or_Unzoned
POL-00121,39.11175495789013,-122.63988800616244,Commercial,Masonry,903188,Low_or_Unzoned
POL-00122,36.385052971935565,-116.91830632586026,Residential,Steel Frame,192932,Low_or_Unzoned
POL-00123,34.877307532563655,-119.07902535842442,Residential,Masonry,289515,Low_or_Unzoned
POL-00124,35.15937202098646,-119.44658151219801,Residential,Masonry,333120,Low_or_Unzoned
POL-00125,34.853444400261,-115.948938817678,Residential,Wood Frame,3244558,Low_or_Unzoned
POL-00126,39.69953804941151,-123.11211359358434,Residential,Wood Frame,282076,Low_or_Unzoned
POL-00127,33.602690084815706,-117.73845591580006,Commercial,Masonry,278735,Low_or_Unzoned
POL-00128,37.00465137632959,-120.47623865755386,Residential,Steel Frame,234418,High
POL-00129,37.17035081360991,-119.85293786770544,Commercial,Wood Frame,845640,High
POL-00130,34.145417764145144,-115.88488036295712,Residential,Masonry,605673,Low_or_Unzoned
POL-00131,36.28579497677505,-118.3259951339889,Commercial,Wood Frame,1289038,Low_or_Unzoned
POL-00132,38.35057593149605,-120.79241966614691,Commercial,Wood Frame,924499,Low_or_Unzoned
POL-00133,38.75758950037998,-120.15151878373551,Commercial,Wood Frame,179097,Low_or_Unzoned
POL-00134,37.967004689820854,-122.55919682155624,Residential,Wood Frame,283276,Low_or_Unzoned
POL-00135,37.68335949850138,-119.00428560531891,Residential,Wood Frame,1610834,Low_or_Unzoned
POL-00136,41.443915683376986,-122.11888743414372,Residential,Masonry,459255,Low_or_Unzoned
POL-00137,36.167975059107356,-117.50151924472313,Residential,Masonry,1397329,Low_or_Unzoned
POL-00138,41.631310356327184,-123.65888987059918,Residential,Masonry,479383,Low_or_Unzoned
POL-00139,38.98856434745539,-120.32316887024447,Commercial,Wood Frame,249166,Low_or_Unzoned
POL-00140,35.530268487790735,-119.42541000785359,Residential,Masonry,423958,Low_or_Unzoned
POL-00141,40.52631545420982,-120.48076694576807,Residential,Wood Frame,249087,Low_or_Unzoned
POL-00142,32.721083389490346,-115.6889606152571,Residential,Wood Frame,343711,Low_or_Unzoned
POL-00143,40.23745058459489,-122.97406972958471,Commercial,Masonry,634593,Low_or_Unzoned
POL-00144,35.1776203603473,-119.19018419029557,Commercial,Wood Frame,813648,Low_or_Unzoned
POL-00145,39.11900307095943,-123.75286537178195,Residential,Wood Frame,151425,Low_or_Unzoned
POL-00146,39.630840140588155,-123.47091930980221,Residential,Wood Frame,532908,Low_or_Unzoned
POL-00147,40.164930023039005,-124.037308453511,Commercial,Masonry,337968,Low_or_Unzoned
POL-00148,41.90979884900639,-122.55459307149783,Residential,Wood Frame,321665,Low_or_Unzoned
POL-00149,36.419867930658555,-118.81666383511238,Residential,Masonry,600878,Low_or_Unzoned
POL-00150,36.03417181503144,-117.72149209501201,Commercial,Masonry,347888,Low_or_Unzoned
POL-00151,39.87592312704897,-124.02135584153898,Commercial,Masonry,1632642,Low_or_Unzoned
POL-00152,40.65492114250861,-121.38556893735053,Residential,Masonry,1397855,Low_or_Unzoned
POL-00153,39.63327514401922,-122.7161857311999,Residential,Wood Frame,1390901,Low_or_Unzoned
POL-00154,39.668157303804485,-123.16708365557278,Residential,Wood Frame,363695,Low_or_Unzoned
POL-00155,37.29989753825464,-121.9186018538193,Residential,Wood Frame,250196,Low_or_Unzoned
POL-00156,40.35134592802355,-120.73953297644398,Residential,Wood Frame,577015,Low_or_Unzoned
POL-00157,41.10112877598301,-120.48753551425803,Residential,Masonry,479127,Low_or_Unzoned
POL-00158,41.525588686982644,-124.45603184190644,Residential,Wood Frame,332017,Low_or_Unzoned
POL-00159,38.50245351561309,-120.18671749500407,Residential,Wood Frame,210957,Low_or_Unzoned
POL-00160,36.760232458794036,-119.35873720166366,Residential,Masonry,522711,Low_or_Unzoned
POL-00161,35.28550233113161,-120.13784849378305,Residential,Masonry,391110,Low_or_Unzoned
POL-00162,38.888925332731866,-120.97859813471665,Residential,Masonry,937224,Low_or_Unzoned
POL-00163,39.64755802965796,-122.64063631832846,Residential,Masonry,919959,Low_or_Unzoned
POL-00164,40.02000091539556,-123.46654601443562,Residential,Masonry,1303599,Low_or_Unzoned
POL-00165,33.36645797896256,-118.20672288705725,Residential,Masonry,197316,Low_or_Unzoned
POL-00166,37.72052438207549,-120.37195514031283,Commercial,Wood Frame,744781,High
POL-00167,40.93318973620385,-123.48186045486304,Residential,Steel Frame,301953,Low_or_Unzoned
POL-00168,33.612136656062255,-116.1261025243869,Commercial,Wood Frame,203550,Low_or_Unzoned
POL-00169,33.85842097950194,-117.38576904557036,Residential,Wood Frame,383508,Low_or_Unzoned
POL-00170,38.37307160150448,-119.51155633489894,Residential,Wood Frame,1270554,Low_or_Unzoned
POL-00171,33.46066542316651,-114.8144400216107,Residential,Masonry,401171,Low_or_Unzoned
POL-00172,39.15920674886164,-121.55369146100188,Residential,Steel Frame,1890522,Low_or_Unzoned
POL-00173,33.305958283809325,-115.31977299156065,Commercial,Wood Frame,838276,Low_or_Unzoned
POL-00174,36.02110039713546,-120.30700790790816,Commercial,Wood Frame,394244,Low_or_Unzoned
POL-00175,40.221595888946275,-120.19843487242855,Commercial,Masonry,1366876,Low_or_Unzoned
POL-00176,41.867010106317274,-122.60063503552156,Residential,Steel Frame,771673,Low_or_Unzoned
POL-00177,36.0744660625437,-120.99097650118235,Residential,Wood Frame,256261,Low_or_Unzoned
POL-00178,33.29325680863735,-116.82586136935032,Residential,Wood Frame,2390569,Low_or_Unzoned
POL-00179,39.88289570131065,-120.08988445489554,Residential,Masonry,665027,Low_or_Unzoned
POL-00180,33.55637608190844,-115.40255657283315,Residential,Wood Frame,548551,Low_or_Unzoned
POL-00181,36.061270505475186,-120.34198985295104,Commercial,Masonry,272549,Low_or_Unzoned
POL-00182,40.75169171779987,-122.83326398456975,Commercial,Wood Frame,1388355,Low_or_Unzoned
POL-00183,32.615467509553255,-114.97605941564227,Residential,Wood Frame,817348,Low_or_Unzoned
POL-00184,40.96585958013168,-120.76788695767735,Residential,Wood Frame,893936,Low_or_Unzoned
POL-00185,37.761615701812545,-120.74298188197628,Residential,Wood Frame,360041,High
POL-00186,37.46942951961641,-118.45626899927913,Residential,Wood Frame,1053133,Low_or_Unzoned
POL-00187,38.479287062284996,-122.80469274232549,Residential,Wood Frame,1120685,Low_or_Unzoned
POL-00188,36.81814011529384,-118.68854634979658,Commercial,Masonry,316467,Low_or_Unzoned
POL-00189,38.050985963269454,-122.2938744744203,Residential,Wood Frame,173929,Low_or_Unzoned
POL-00190,36.828739151464276,-121.75779445863597,Residential,Steel Frame,860353,Low_or_Unzoned
POL-00191,35.135121238320764,-118.54239508636122,Residential,Wood Frame,153479,Low_or_Unzoned
POL-00192,34.287151017375734,-116.13944210070794,Residential,Masonry,610243,Low_or_Unzoned
POL-00193,35.8568461662475,-118.09386681861953,Commercial,Wood Frame,377831,Low_or_Unzoned
POL-00194,38.04473306258328,-119.37413440923645,Residential,Wood Frame,1432500,Low_or_Unzoned
POL-00195,41.75675067282858,-121.75600331220348,Commercial,Wood Frame,394638,Low_or_Unzoned
POL-00196,41.86900207255623,-120.0994555343706,Residential,Wood Frame,1310367,Low_or_Unzoned
POL-00197,37.59291548026914,-119.10606752023929,Commercial,Masonry,358123,Low_or_Unzoned
POL-00198,40.231052687216014,-124.43212424320804,Residential,Masonry,1202595,Low_or_Unzoned
POL-00199,40.3141038077701,-124.24856421465992,Residential,Masonry,2808814,Low_or_Unzoned
POL-00200,38.32744436139001,-122.66870269532926,Commercial,Wood Frame,229937,Low_or_Unzoned
POL-00201,36.47330884476088,-119.54768034711874,Commercial,Masonry,682575,Low_or_Unzoned
POL-00202,41.36092059186313,-123.54006908592005,Commercial,Masonry,4872052,Low_or_Unzoned
POL-00203,36.07640198534147,-119.02554127452572,Residential,Steel Frame,569931,Low_or_Unzoned
POL-00204,41.87912322849197,-122.4389098257338,Commercial,Masonry,567746,Low_or_Unzoned
POL-00205,36.1184631379947,-118.44027063492697,Commercial,Wood Frame,1015406,Low_or_Unzoned
POL-00206,36.95258501805222,-119.98842968477095,Residential,Wood Frame,558418,High
POL-00207,40.71486257442301,-122.60175591909501,Commercial,Wood Frame,137891,Low_or_Unzoned
POL-00208,40.222559586735734,-121.67762504218292,Residential,Masonry,1336854,Low_or_Unzoned
POL-00209,41.99731789621824,-122.41423194257725,Residential,Wood Frame,108840,Low_or_Unzoned
POL-00210,41.9680499522021,-121.9080012102448,Residential,Masonry,387149,Low_or_Unzoned
POL-00211,37.77660120322496,-121.28263778181412,Commercial,Wood Frame,1419677,Low_or_Unzoned
POL-00212,40.57165021143541,-120.02175265396046,Residential,Wood Frame,406267,Low_or_Unzoned
POL-00213,34.84980696656038,-118.03808181188123,Residential,Wood Frame,310221,Very High
POL-00214,41.56348475895786,-122.69579066624459,Residential,Wood Frame,1091879,Low_or_Unzoned
POL-00215,38.88115650185564,-121.52551376332794,Residential,Masonry,273514,Low_or_Unzoned
POL-00216,38.37221828435001,-120.29671522018356,Residential,Wood Frame,203255,Low_or_Unzoned
POL-00217,40.595724253026134,-124.28855258603245,Residential,Masonry,673074,Low_or_Unzoned
POL-00218,36.33308722901777,-118.57179829119863,Commercial,Wood Frame,466802,Low_or_Unzoned
POL-00219,33.773144670281084,-117.53821436090695,Commercial,Wood Frame,199797,Low_or_Unzoned
POL-00220,32.77343542497672,-117.3698006527958,Commercial,Masonry,899470,Low_or_Unzoned
POL-00221,33.79552901807431,-115.2625997759094,Commercial,Wood Frame,783549,Low_or_Unzoned
POL-00222,41.08950759769061,-123.0496844220274,Residential,Masonry,405224,Low_or_Unzoned
POL-00223,37.382900147018205,-119.24938827849358,Residential,Masonry,428023,Low_or_Unzoned
POL-00224,41.5204459247476,-121.21772073846284,Residential,Masonry,787260,Low_or_Unzoned
POL-00225,41.3025824390342,-122.29825208698288,Residential,Wood Frame,1400428,Low_or_Unzoned
POL-00226,34.953321688840106,-117.72117294088667,Commercial,Wood Frame,430957,Very High
POL-00227,41.81030946521203,-121.3144517918941,Residential,Masonry,912324,Low_or_Unzoned
POL-00228,35.623140297731325,-116.45848423921021,Commercial,Masonry,849293,Low_or_Unzoned
POL-00229,33.71643547009884,-117.44705697793736,Residential,Masonry,1091917,Low_or_Unzoned
POL-00230,33.943075588366796,-116.84224709498933,Commercial,Wood Frame,557628,Low_or_Unzoned
POL-00231,33.8188581401694,-118.46186397868244,Residential,Wood Frame,260443,Low_or_Unzoned
POL-00232,38.58831007563054,-122.32841212209934,Residential,Wood Frame,373248,Low_or_Unzoned
POL-00233,34.22786080179188,-119.20321261247177,Commercial,Masonry,710896,Low_or_Unzoned
POL-00234,41.01948989410711,-120.01160145424977,Residential,Wood Frame,2314655,Low_or_Unzoned
POL-00235,37.00263558249729,-117.72520495363104,Commercial,Wood Frame,366877,Low_or_Unzoned
POL-00236,35.14660822080361,-116.27443419004369,Residential,Masonry,1028724,Low_or_Unzoned
POL-00237,34.18159960062909,-114.95284670841158,Residential,Wood Frame,415631,Low_or_Unzoned
POL-00238,33.64604077545571,-116.61157129407545,Commercial,Wood Frame,590293,Low_or_Unzoned
POL-00239,34.46017032485503,-115.61569578943256,Residential,Wood Frame,1816309,Low_or_Unzoned
POL-00240,39.05875087197897,-120.54489737549065,Commercial,Wood Frame,995931,Low_or_Unzoned
POL-00241,40.0943987896359,-123.84447106358331,Residential,Wood Frame,200177,Low_or_Unzoned
POL-00242,38.46505370016362,-119.39517663189872,Residential,Wood Frame,341813,Low_or_Unzoned
POL-00243,40.798996929014386,-121.89033188026202,Residential,Wood Frame,1476193,Low_or_Unzoned
POL-00244,41.24828780505223,-121.17210247144355,Residential,Wood Frame,605313,Low_or_Unzoned
POL-00245,33.080240618621204,-116.00732360333731,Residential,Wood Frame,215545,Low_or_Unzoned
POL-00246,35.130337657398435,-115.30736917084309,Residential,Masonry,280642,Low_or_Unzoned
POL-00247,40.158912158034084,-121.32410366665457,Residential,Wood Frame,948649,Low_or_Unzoned
POL-00248,34.25294968388558,-115.4990751576172,Residential,Wood Frame,1197238,Low_or_Unzoned
POL-00249,34.48881857169875,-116.47116502095884,Residential,Wood Frame,548139,Low_or_Unzoned
POL-00250,36.00467957591284,-117.33332497294485,Residential,Wood Frame,3914706,Low_or_Unzoned
POL-00251,36.8940798032649,-121.01802308436774,Residential,Wood Frame,1044785,Low_or_Unzoned
POL-00252,34.898150971268194,-119.13901070835071,Residential,Wood Frame,444726,Low_or_Unzoned
POL-00253,39.27682106590325,-123.24049411182482,Residential,Masonry,281372,Low_or_Unzoned
POL-00254,41.00446495802839,-121.22332753115379,Residential,Wood Frame,247729,Low_or_Unzoned
POL-00255,37.55986403132272,-121.0473625125896,Residential,Masonry,706682,Low_or_Unzoned
POL-00256,34.80346978452993,-117.54570574332745,Commercial,Wood Frame,365484,Very High
POL-00257,35.05781069401912,-116.60583596745485,Commercial,Wood Frame,2061604,Low_or_Unzoned
POL-00258,32.6906763788884,-114.56962812662773,Residential,Wood Frame,1746369,Low_or_Unzoned
POL-00259,34.50875606646717,-115.48568222720868,Residential,Masonry,896679,Low_or_Unzoned
POL-00260,33.63774025228289,-117.09707048328728,Commercial,Wood Frame,210407,Low_or_Unzoned
POL-00261,38.951472031872655,-121.8506952705809,Residential,Wood Frame,315598,Low_or_Unzoned
POL-00262,38.07499062119835,-119.50750499005629,Commercial,Wood Frame,1475550,Low_or_Unzoned
POL-00263,36.600765689181955,-120.47433001888828,Commercial,Wood Frame,344395,High
POL-00264,35.19587110508788,-115.71735697906637,Residential,Steel Frame,1326047,Low_or_Unzoned
POL-00265,35.94928181578703,-118.73644886777925,Residential,Wood Frame,789916,Low_or_Unzoned
POL-00266,38.63621379265021,-122.51344417990127,Commercial,Masonry,563191,Low_or_Unzoned
POL-00267,35.88291889602954,-119.13330679586025,Commercial,Masonry,307962,Low_or_Unzoned
POL-00268,38.25486078389043,-119.66056744883089,Residential,Wood Frame,501122,Low_or_Unzoned
POL-00269,34.753654521491946,-115.79855566991094,Residential,Wood Frame,628894,Low_or_Unzoned
POL-00270,33.46693348989383,-115.78959148532797,Residential,Masonry,1234320,Low_or_Unzoned
POL-00271,33.952161822251156,-117.05141737084395,Residential,Wood Frame,266042,Low_or_Unzoned
POL-00272,34.02647304596578,-115.69203445000727,Commercial,Wood Frame,437900,Low_or_Unzoned
POL-00273,34.272386728487405,-117.45436370440444,Commercial,Masonry,560093,Low_or_Unzoned
POL-00274,35.208404102591544,-117.18124625695485,Residential,Masonry,918174,Low_or_Unzoned
POL-00275,33.2622205837856,-116.883598197534,Commercial,Masonry,261248,Low_or_Unzoned
POL-00276,36.398769856401785,-120.2183306387353,Residential,Masonry,188479,Low_or_Unzoned
POL-00277,40.26218467401816,-121.65912780687609,Residential,Wood Frame,926502,Low_or_Unzoned
POL-00278,34.123432080205625,-114.60838869536974,Residential,Wood Frame,160434,Low_or_Unzoned
POL-00279,38.85211058928209,-121.36813923054171,Residential,Wood Frame,1510549,Low_or_Unzoned
POL-00280,37.78924748363233,-120.37222111882566,Residential,Masonry,476993,High
POL-00281,35.574952745840314,-120.62406996500336,Residential,Steel Frame,156682,Low_or_Unzoned
POL-00282,36.54164616685596,-120.74948049307302,Commercial,Wood Frame,367935,High
POL-00283,37.322298597502325,-120.88703801258086,Commercial,Wood Frame,731826,High
POL-00284,34.802892457943265,-119.03428970829899,Residential,Wood Frame,352864,Low_or_Unzoned
POL-00285,35.24199025578243,-119.19203168690335,Residential,Masonry,549093,Low_or_Unzoned
POL-00286,38.021763103514814,-119.16854269902002,Residential,Wood Frame,976824,Low_or_Unzoned
POL-00287,37.55959960924007,-121.87528464587729,Commercial,Wood Frame,459662,Low_or_Unzoned
POL-00288,35.69774064284225,-117.53696438576031,Residential,Steel Frame,255340,Low_or_Unzoned
POL-00289,33.77693943092026,-118.24865311335284,Residential,Masonry,425411,Low_or_Unzoned
POL-00290,41.90462220770448,-120.06698154425288,Residential,Wood Frame,1675918,Low_or_Unzoned
POL-00291,35.56236152725987,-116.25682882901248,Residential,Steel Frame,2080359,Low_or_Unzoned
POL-00292,40.19380723561903,-122.44501727895369,Residential,Wood Frame,107372,Low_or_Unzoned
POL-00293,34.91908622025576,-115.88734015107866,Commercial,Wood Frame,1293448,Low_or_Unzoned
POL-00294,39.72216466895202,-120.10081737531499,Commercial,Wood Frame,660081,Low_or_Unzoned
